SP1,SP2,SP3,SP5,SP6,FS1,FS2,EPS1,TS1,TS2,TS3,TS4,VS1,CP,SE,label
150.81,125.13,2.227,9.606,9.505,9.179,10.392,2397.8,37.488,42.129,39.234,35.113,0.578,1.159,68.595,23.554
191.09,0.297,0,9.624,9.517,0,10.415,2901,37.391,42.105,39.246,35.121,0.603,1.157,0,23.521
191.28,0,0,9.585,9.475,0,10.381,2935.6,37.34,42.117,39.246,35.098,0.638,1.157,0,23.527
191.24,0,0,9.548,9.448,0,10.416,2933.8,37.312,42.066,39.25,35.187,0.651,1.134,0,23.008
191.3,0,0,9.585,9.479,0,10.388,2933.8,37.223,42.031,39.246,35.191,0.652,1.129,0,23.042
191.23,0,0,9.613,9.512,0.003,10.376,2931.8,37.145,41.969,39.25,35.18,0.662,1.137,0,23.052
191.22,0,0,9.578,9.476,0,10.401,2935.6,37.059,41.926,39.254,35.273,0.662,1.117,0,22.658
191.22,0,0,9.56,9.451,0,10.387,2931.8,36.973,41.867,39.246,35.27,0.656,1.138,0,22.952
191.19,0,0,9.575,9.476,0,10.387,2933.6,36.898,41.867,39.332,35.281,0.652,1.122,0,22.908
191.23,0,0,9.583,9.478,0.001,10.392,2935.4,36.879,41.855,39.332,35.402,0.638,1.095,67.32,22.359
151.28,123.37,3.281,9.535,9.422,10.491,10.389,2492,36.887,41.871,39.32,35.391,0.604,1.1,67.32,22.287
146.09,120.19,2.383,9.516,9.412,7.976,10.376,2330,36.887,41.832,39.32,35.387,0.601,1.102,68.246,22.213
146.26,120.43,2.352,9.547,9.45,7.893,10.387,2331.6,36.98,41.867,39.355,35.395,0.586,1.11,68.246,22.562
145.81,119.99,2.172,9.556,9.451,7.846,10.356,2324,37.059,41.941,39.371,35.395,0.563,1.117,68.1,22.525
145.91,120.14,2.43,9.53,9.417,8.065,10.363,2329.6,37.137,41.984,39.402,35.402,0.543,1.123,68.1,22.725
145.52,119.71,2.359,9.52,9.418,8.078,10.381,2322.6,37.23,41.949,39.41,35.391,0.534,1.121,68.209,22.63
145.67,119.55,2.336,9.561,9.463,8.133,10.368,2325.6,37.316,42.105,39.492,35.387,0.534,1.121,68.209,22.745
145.61,119.69,2.437,9.564,9.474,7.669,10.378,2321.6,37.398,42.113,39.492,35.465,0.529,1.126,68.005,22.643
145.59,119.6,2.414,9.531,9.432,7.947,10.388,2321.6,37.477,42.117,39.578,35.48,0.531,1.151,68.005,22.997
145.56,119.67,2.336,9.528,9.427,4.744,10.394,2319.6,37.582,42.129,39.578,35.473,0.561,1.147,54.786,22.997
156.02,130.09,2.375,9.568,9.472,8.019,10.364,2463.4,37.578,42.141,39.562,35.48,0.554,1.153,54.786,22.903
155.77,130.13,2.328,9.578,9.481,7.669,10.379,2456,37.723,42.207,39.617,35.547,0.559,1.145,68.905,22.761
155.77,129.87,2.492,9.535,9.441,8.014,10.366,2459.8,37.73,42.242,39.672,35.539,0.568,1.141,68.905,22.701
155.57,129.79,2.305,9.53,9.416,7.85,10.376,2457.8,37.73,42.277,39.617,35.539,0.585,1.144,69.065,22.818
155.8,130.04,2.32,9.554,9.446,7.992,10.37,2459.6,37.797,42.309,39.625,35.551,0.584,1.142,69.065,22.785
155.72,129.94,2.242,9.543,9.444,7.947,10.37,2456,37.898,42.363,39.668,35.547,0.571,1.131,69.35,22.667
155.66,130.05,2.211,9.519,9.406,7.932,10.369,2456,37.98,42.371,39.629,35.559,0.558,1.137,69.35,22.729
155.59,129.73,2.414,9.517,9.419,7.838,10.379,2456,37.977,42.371,39.613,35.559,0.555,1.137,69.296,22.82
155.77,129.87,2.328,9.561,9.455,7.727,10.398,2456,37.984,42.348,39.605,35.625,0.561,1.117,69.296,22.087
155.84,130.21,2.406,9.55,9.455,5.003,10.341,2457.8,38.016,42.402,39.625,35.641,0.594,1.114,57.479,22.25
165.91,140.16,2.391,9.517,9.422,7.773,10.39,2601.6,38.031,42.445,39.625,35.629,0.615,1.109,57.479,22.121
165.89,140.46,2.187,9.535,9.431,7.819,10.383,2597.8,38.047,42.457,39.602,35.641,0.605,1.102,70.092,21.979
165.88,140.38,2.195,9.565,9.466,7.673,10.394,2596,38.117,42.539,39.613,35.723,0.603,1.086,70.092,21.772
165.94,140.25,2.195,9.548,9.448,7.849,10.342,2598,38.125,42.5,39.668,35.707,0.587,1.097,69.947,21.945
165.83,140.43,2.156,9.502,9.401,7.69,10.376,2596,38.195,42.594,39.656,35.719,0.59,1.093,69.947,21.863
165.84,140.18,2.219,9.507,9.409,7.741,10.364,2599.6,38.219,42.633,39.656,35.801,0.599,1.082,69.979,21.627
165.81,140.26,2.133,9.54,9.448,7.624,10.37,2595.8,38.207,42.617,39.668,35.801,0.588,1.076,69.979,21.51
165.94,140.23,2.297,9.518,9.433,7.726,10.399,2598.4,38.289,42.633,39.66,35.797,0.59,1.077,70.287,21.445
165.97,140.37,2.32,9.493,9.395,8.049,10.361,2597.4,38.301,42.676,39.656,35.801,0.583,1.077,70.287,21.54
165.89,140.16,2.211,9.503,9.404,10.939,10.368,2597.4,38.281,42.703,39.672,35.812,0.564,1.084,80.824,21.436
155.77,129.99,2.281,9.535,9.438,7.959,10.328,2460,38.367,42.766,39.746,35.812,0.56,1.103,80.824,21.853
155.84,130.1,2.164,9.511,9.404,8.024,10.323,2457.6,38.379,42.777,39.762,35.809,0.559,1.107,69.437,21.894
155.79,129.98,2.297,9.466,9.373,7.882,10.371,2455.6,38.379,42.777,39.75,35.797,0.561,1.1,69.437,21.797
155.82,130.16,2.359,9.472,9.385,8.024,10.361,2453.8,38.379,42.82,39.766,35.891,0.55,1.08,69.561,21.377
155.63,129.9,2.305,9.508,9.408,7.784,10.334,2455.8,38.379,42.875,39.801,35.883,0.56,1.092,69.561,21.645
155.81,129.98,2.437,9.51,9.41,7.932,10.329,2455.6,38.375,42.852,39.789,35.875,0.554,1.077,69.57,21.453
155.61,130.07,2.281,9.474,9.366,7.726,10.363,2455.4,38.367,42.875,39.84,35.879,0.561,1.104,69.57,21.788
155.57,129.84,2.359,9.484,9.38,7.89,10.328,2455.6,38.391,42.867,39.855,35.969,0.566,1.078,69.319,21.22
155.68,130.09,2.297,9.517,9.42,7.673,10.318,2455.6,38.391,42.875,39.84,35.973,0.558,1.101,69.319,21.775
155.68,129.92,2.336,9.509,9.399,9.458,10.341,2455.8,38.469,42.875,39.91,35.98,0.547,1.101,74.986,21.575
150.57,124.83,2.297,9.483,9.378,7.851,10.346,2390,38.457,42.887,39.914,35.98,0.543,1.101,74.986,21.711
150.52,124.74,2.391,9.491,9.396,8.055,10.351,2384,38.461,42.887,39.988,36.039,0.544,1.102,68.901,21.564
150.55,124.66,2.25,9.519,9.425,7.899,10.374,2384,38.457,42.906,39.996,36.051,0.543,1.099,68.901,21.564
150.63,125,2.227,9.496,9.382,7.839,10.34,2385.6,38.469,42.941,40.016,36.062,0.554,1.099,68.805,21.526
150.48,124.55,2.359,9.465,9.361,7.898,10.33,2384,38.469,42.93,40.035,36.039,0.544,1.118,68.805,21.753
150.5,124.79,2.242,9.481,9.374,7.746,10.317,2387.4,38.555,42.934,40.062,36.047,0.544,1.112,68.456,21.749
150.62,124.85,2.375,9.512,9.417,8,10.346,2387.4,38.527,42.973,40.047,36.066,0.545,1.116,68.456,21.802
150.63,124.71,2.297,9.493,9.395,7.854,10.336,2387.6,38.543,42.988,40.043,36.055,0.544,1.108,68.758,21.582
150.52,124.92,2.172,9.474,9.358,7.994,10.356,2385.8,38.527,43.039,40.051,36.141,0.53,1.085,68.758,21.283
150.59,124.84,2.273,9.502,9.395,7.862,10.32,2387.6,38.621,43.035,40.043,36.121,0.534,1.103,68.628,21.519
150.48,124.93,2.32,9.528,9.422,9.034,10.329,2383.8,38.633,43.039,40.086,36.133,0.565,1.101,68.628,21.54
191.14,0.109,0,9.507,9.399,0,10.336,2886,38.535,43.043,40.047,36.105,0.591,1.086,0,21.419
191.14,0,0,9.476,9.373,0,10.376,2927.8,38.469,43.039,40.102,36.113,0.608,1.107,0,21.565
191.2,0,0,9.488,9.396,0.001,10.346,2926,38.379,43,40.078,36.199,0.614,1.075,0,20.857
191.11,0,0,9.513,9.421,0,10.336,2926,38.297,42.957,40.043,36.199,0.623,1.073,0,21.052
191.15,0,0,9.497,9.399,0,10.347,2927.8,38.223,42.887,40.078,36.199,0.645,1.067,0,21.039
191.17,0,0,9.469,9.368,0,10.366,2924,38.125,42.879,40.051,36.199,0.642,1.07,0,20.926
191.25,0,0,9.486,9.378,0,10.334,2925.8,38.062,42.879,40.07,36.207,0.645,1.077,0,20.912
191.06,0,0,9.502,9.404,0.001,10.32,2929.4,37.977,42.875,40.023,36.199,0.642,1.061,0,20.989
191.11,0,0,9.446,9.357,0.003,10.323,2925.8,37.969,42.809,40.078,36.227,0.643,1.065,68.991,20.882
151.14,123.43,3.344,9.427,9.324,10.421,10.32,2484,37.887,42.805,40.043,36.301,0.598,1.042,68.991,20.596
145.99,120,2.305,9.45,9.361,8.069,10.292,2324,37.902,42.852,40.043,36.324,0.57,1.038,68.798,20.465
145.81,119.96,2.445,9.467,9.373,8.032,10.302,2321.8,37.965,42.867,40.023,36.301,0.558,1.048,68.798,20.604
146.19,120.82,1.812,9.439,9.34,7.205,10.317,2321.6,38.047,42.867,40.09,36.301,0.544,1.068,69.593,20.672
145.32,119.53,2.328,9.413,9.306,7.917,10.31,2314,38.18,42.934,40.062,36.379,0.538,1.046,69.593,20.453
145.62,119.86,2.242,9.443,9.349,7.98,10.297,2319.4,38.203,42.961,40.164,36.379,0.532,1.053,68.152,20.479
145.73,119.84,2.305,9.479,9.387,8.016,10.286,2317.6,38.367,43.027,40.199,36.391,0.527,1.064,68.152,20.621
145.52,119.73,2.227,9.457,9.365,7.919,10.316,2313.8,38.406,43.027,40.199,36.379,0.529,1.078,68.317,20.717
145.38,119.68,2.32,9.441,9.337,7.751,10.31,2312,38.457,43.125,40.254,36.477,0.53,1.047,68.317,20.342
145.3,119.52,2.359,9.466,9.368,5.088,10.3,2313.8,38.629,43.121,40.32,36.465,0.545,1.075,54.78,20.777
155.88,130.1,2.547,9.491,9.396,7.904,10.312,2451.4,38.633,43.121,40.344,36.461,0.536,1.071,54.78,20.676
155.52,129.82,2.187,9.467,9.37,8.036,10.311,2448,38.699,43.121,40.316,36.473,0.548,1.073,68.87,20.747
155.57,129.73,2.406,9.439,9.339,7.952,10.347,2451.4,38.801,43.176,40.316,36.461,0.548,1.075,68.87,20.689
155.51,129.73,2.375,9.463,9.361,7.899,10.312,2449.8,38.801,43.207,40.41,36.461,0.552,1.071,69.315,20.79
155.66,130.08,2.187,9.481,9.38,7.724,10.288,2451.6,38.828,43.246,40.328,36.461,0.555,1.098,69.315,21.061
155.47,129.79,2.242,9.45,9.354,7.876,10.319,2448,38.902,43.281,40.34,36.555,0.549,1.052,69.257,20.307
155.45,129.94,2.211,9.431,9.332,8.007,10.324,2447.8,38.895,43.293,40.312,36.562,0.547,1.043,69.257,20.181
155.6,129.97,2.219,9.455,9.356,7.683,10.307,2449.6,38.969,43.352,40.32,36.543,0.556,1.047,69.6,20.307
155.59,129.69,2.195,9.486,9.387,7.794,10.303,2449.6,38.988,43.363,40.316,36.551,0.562,1.053,69.6,20.144
155.44,129.82,2.305,9.455,9.349,5.169,10.321,2447.8,39.055,43.363,40.316,36.633,0.57,1.022,57.705,19.783
165.79,140.34,2.211,9.425,9.325,7.766,10.334,2589.6,39.055,43.367,40.316,36.645,0.577,1.028,57.705,19.804
165.83,140.27,2.133,9.45,9.347,7.649,10.314,2587.8,39.055,43.391,40.328,36.645,0.584,1.022,70.099,19.749
165.76,140.34,2.109,9.478,9.377,7.829,10.303,2589.6,39.055,43.422,40.398,36.637,0.629,1.024,70.099,19.875
165.67,140.15,2.266,9.442,9.345,7.947,10.324,2589.6,39.121,43.457,40.41,36.645,0.614,1.048,70.984,20.155
165.79,140.17,2.133,9.408,9.302,7.869,10.321,2589.6,39.215,43.527,40.414,36.715,0.602,1.033,70.984,19.913
165.7,140.28,2.266,9.42,9.319,7.928,10.312,2587.8,39.215,43.551,40.41,36.715,0.602,1.022,70.588,19.83
165.81,140.25,2.359,9.452,9.351,7.875,10.33,2587.8,39.219,43.605,40.402,36.711,0.601,1.027,70.588,19.709
165.49,139.88,2.273,9.417,9.308,7.789,10.286,2589.6,39.227,43.609,40.422,36.715,0.595,1.023,70.294,19.771
165.73,140.13,2.352,9.39,9.288,7.966,10.304,2591.4,39.273,43.641,40.41,36.711,0.587,1.024,70.294,19.675
